,HiddenNodes,lit_HamminLosss,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,sklearn_macro_precision,sklearn_micro_precision-,sklearn_macro_recall,sklearn_micro_precision,sklearn_macro_f1,sklearn_micro_f1,term_wise_accuracy,activation,type,start,phase,end
0,50,0.040752895495006075,0.07442027059781058,0.16423402536270065,0.0822539101260439,0.10961096927552347,0.07442027059781058,0.025292443882390134,0.05729102025975336,0.07442027059781058,0.008273497103546383,0.5841760856632957,0.011012448680238561,0.12515931684934997,0.959247104504994,_bipolar_sigmoid,type1_BERT_Embeddings_Train,1603016131.3887482,train,1603016141.7192724
1,50,0.042244023819247245,0.07251667512937399,0.16205888963812093,0.08174585532955894,0.10867419786258035,0.07251667512937399,0.024275118004045852,0.028466079078010343,0.07251667512937399,0.00821992892590464,0.5566546762589928,0.01078866183558055,0.1221630155910795,0.9577559761807528,_bipolar_sigmoid,type1_BERT_Embeddings_Test,1603016141.7202702,test,1603016144.4399993
2,100,0.04041595976957752,0.08692481695622953,0.1875065865739277,0.09607508695063499,0.1270513103685913,0.08692481695622953,0.031826325218674255,0.05158405924744115,0.08692481695622953,0.009843860822348954,0.6050331125827815,0.01286968830334237,0.1436613516998459,0.9595840402304224,_bipolar_sigmoid,type1_BERT_Embeddings_Train,1603016144.4729092,train,1603016157.0273395
3,100,0.040166597646793395,0.09695464664396043,0.19901991779955738,0.10656653187234895,0.13880761032558708,0.09695464664396043,0.03878174728633154,0.09262166311663128,0.09695464664396043,0.010989163215933895,0.6224203821656051,0.014725472599601906,0.15294080821360378,0.9598334023532066,_relu_leaky,type1_BERT_Embeddings_Train,1603016157.0273395,train,1603016177.1874347
4,100,0.04056884249961779,0.07697353623649007,0.16517810095900518,0.08452493584448158,0.11182618013140845,0.07697353623649007,0.028980925281905365,0.12540648716466976,0.07697353623649007,0.008985955153810917,0.6056985294117647,0.012674639645739288,0.12638240746659846,0.9594311575003822,_biploar_step,type1_BERT_Embeddings_Train,1603016177.1874347,train,1603016185.2439268
5,100,0.040129490188045756,0.09458718086167449,0.20031615554852988,0.10360216852035492,0.1365708248626996,0.09458718086167449,0.0365686584466224,0.08613243086497832,0.09458718086167449,0.010754165545969804,0.6287206266318538,0.014307287930941484,0.15119929674745697,0.9598705098119542,_bipolar_sigmoid,type2_BERT_Embeddings_Train,1603016185.2439268,train,1603016196.9077046
6,100,0.04016214475174368,0.09682182121443497,0.20194728398964884,0.1068047215941105,0.13971681513401485,0.09682182121443497,0.03741173990936874,0.1764832898073357,0.09682182121443497,0.01110140745555517,0.6225216065073716,0.014819191627029406,0.15327325071973966,0.9598378552482563,_relu_leaky,type2_BERT_Embeddings_Train,1603016196.9077046,train,1603016216.6120203
7,100,0.04056587390291798,0.08011992206841671,0.17169880914743385,0.08701888398634795,0.11550071100911292,0.08011992206841671,0.03172094003583096,0.15696995571972305,0.08011992206841671,0.009176749922866254,0.6021854695806261,0.01279426145314042,0.12983953132959755,0.959434126097082,_biploar_step,type2_BERT_Embeddings_Train,1603016216.6120203,train,1603016224.6634912
8,200,0.04001074632005332,0.10353861737651757,0.21391435697474268,0.11193812819461832,0.14696940366290376,0.10353861737651757,0.04268099905153335,0.14536890314068576,0.10353861737651757,0.012270063410489621,0.6295576081672338,0.01669650248253413,0.1611899427433408,0.9599892536799467,_bipolar_sigmoid,type1_BERT_Embeddings_Train,1603016224.6634912,train,1603016240.2847216
9,200,0.039762868495619094,0.11337799692808544,0.2330417676608002,0.12261735389902631,0.16068737263476776,0.11337799692808544,0.04837179892507114,0.10002154984290754,0.11337799692808544,0.012914945134474482,0.6419525673497583,0.017224543442073456,0.1722848756372625,0.960237131504381,_relu_leaky,type1_BERT_Embeddings_Train,1603016240.285722,train,1603016272.2682035
10,200,0.04009980422104765,0.09939882272331033,0.208642588661558,0.10912029789688796,0.1432964162385875,0.09939882272331033,0.03909790283486142,0.1099864536510821,0.09939882272331033,0.011629123920681944,0.621968962172648,0.015437522424617645,0.1595843961923723,0.9599001957789524,_biploar_step,type1_BERT_Embeddings_Train,1603016272.2682035,train,1603016280.8552427
11,200,0.03967084199792495,0.11866507731948263,0.2414374538939825,0.1277259854398278,0.16706874752462836,0.11866507731948263,0.051744124776056485,0.11165133102153148,0.11866507731948263,0.01350624650769389,0.6443701226309922,0.017957951279247247,0.1778078567693112,0.9603291580020751,_bipolar_sigmoid,type2_BERT_Embeddings_Train,1603016280.8552427,train,1603016296.7158334
12,200,0.039543192339833076,0.1251375590700563,0.25216742192714375,0.13528350994474556,0.17609504133700954,0.1251375590700563,0.05364105806723575,0.21362178785128003,0.1251375590700563,0.015149345815738709,0.6453990313750263,0.020456648895742655,0.18705562845198498,0.960456807660167,_relu_leaky,type2_BERT_Embeddings_Train,1603016296.7158334,train,1603016328.4479866
13,200,0.04000035623160398,0.10376956590406808,0.21821758527417714,0.11253130217133694,0.14848914061204935,0.10376956590406808,0.041732532405943726,0.1699383110912099,0.10376956590406808,0.012314823005456258,0.6330275229357798,0.01697295145096906,0.15928872250818907,0.959999643768396,_biploar_step,type2_BERT_Embeddings_Train,1603016328.4479866,train,1603016336.9263148
14,300,0.03969459077152344,0.11688021109263097,0.23872002167923762,0.12746552161471006,0.16619209928117246,0.11688021109263097,0.048898724839287595,0.18361809335482965,0.11688021109263097,0.013933272516097436,0.6403951701427003,0.01864514658367602,0.17908340240046658,0.9603054092284765,_bipolar_sigmoid,type1_BERT_Embeddings_Train,1603016336.9263148,train,1603016358.192454
