,model,phase,start_time,end_time,total_time
0,model_3_256_adadelta_xlnet_t1,train,1604610519.2915123,1604610795.7780426,276.4865303039551
1,model_3_256_adadelta_xlnet_t1,test,1604610795.7861166,1604610804.0169652,8.230848550796509
