,loss,acc,categorical_accuracy,top_k_categorical_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_acc,val_categorical_accuracy,val_top_k_categorical_accuracy,val_precision,val_recall,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,lr
0,10.573973655700684,0.12013910710811615,0.12013910710811615,0.38296976685523987,0.19989444315433502,0.5406466126441956,15150.0,585057.0,60640.0,12872.0,10.728694915771484,0.15339232981204987,0.15339232981204987,0.35524651408195496,0.258428156375885,0.34250208735466003,2453.0,154282.0,7039.0,4709.0,0.009999999776482582
1,10.450623512268066,0.14321845769882202,0.14321845769882202,0.3999367654323578,0.23233795166015625,0.4667404294013977,13079.0,602483.0,43214.0,14943.0,10.657459259033203,0.15339232981204987,0.15339232981204987,0.3337547481060028,0.22756004333496094,0.45238760113716125,3240.0,150323.0,10998.0,3922.0,0.009999999776482582
2,10.42085075378418,0.14448308944702148,0.14448308944702148,0.39730215072631836,0.23561377823352814,0.4595317840576172,12877.0,603921.0,41776.0,15145.0,10.645261764526367,0.15339232981204987,0.15339232981204987,0.35524651408195496,0.23978087306022644,0.47668248414993286,3414.0,150497.0,10824.0,3748.0,0.009999999776482582
3,10.405903816223145,0.14448308944702148,0.14448308944702148,0.3990936875343323,0.2503412067890167,0.41239026188850403,11556.0,611092.0,34605.0,16466.0,10.620725631713867,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.23978087306022644,0.47668248414993286,3414.0,150497.0,10824.0,3748.0,0.009999999776482582
4,10.398056030273438,0.14448308944702148,0.14448308944702148,0.40130677819252014,0.2520776391029358,0.40050673484802246,11223.0,612398.0,33299.0,16799.0,10.670364379882812,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.2536030411720276,0.420134037733078,3009.0,152465.0,8856.0,4153.0,0.009999999776482582
5,10.388538360595703,0.14448308944702148,0.14448308944702148,0.4019390940666199,0.25546780228614807,0.3901577293872833,10933.0,613834.0,31863.0,17089.0,10.659300804138184,0.15339232981204987,0.15339232981204987,0.380109578371048,0.2731774151325226,0.3620496988296509,2593.0,154422.0,6899.0,4569.0,0.009999999776482582
6,10.387828826904297,0.14448308944702148,0.14448308944702148,0.4015175402164459,0.2544841766357422,0.39340516924858093,11024.0,613402.0,32295.0,16998.0,10.635458946228027,0.15339232981204987,0.15339232981204987,0.380109578371048,0.2731774151325226,0.3620496988296509,2593.0,154422.0,6899.0,4569.0,0.009999999776482582
7,10.389976501464844,0.14448308944702148,0.14448308944702148,0.4036252498626709,0.2541288137435913,0.38823068141937256,10879.0,613767.0,31930.0,17143.0,10.646796226501465,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.2536030411720276,0.420134037733078,3009.0,152465.0,8856.0,4153.0,0.009999999776482582
8,10.38803482055664,0.14448308944702148,0.14448308944702148,0.4053114056587219,0.25749728083610535,0.3903718590736389,10939.0,614154.0,31543.0,17083.0,10.61082649230957,0.15339232981204987,0.15339232981204987,0.380109578371048,0.29512572288513184,0.2933538258075714,2101.0,156303.0,5018.0,5061.0,0.009999999776482582
9,10.389199256896973,0.14448308944702148,0.14448308944702148,0.40299293398857117,0.254260390996933,0.39294126629829407,11011.0,613402.0,32295.0,17011.0,10.65087604522705,0.15339232981204987,0.15339232981204987,0.380109578371048,0.2731774151325226,0.3620496988296509,2593.0,154422.0,6899.0,4569.0,0.009999999776482582
10,10.37365436553955,0.14448308944702148,0.14448308944702148,0.4043629467487335,0.2574039399623871,0.38801655173301697,10873.0,614329.0,31368.0,17149.0,10.609270095825195,0.15339232981204987,0.15339232981204987,0.380109578371048,0.2731774151325226,0.3620496988296509,2593.0,154422.0,6899.0,4569.0,0.009048373438417912
11,10.370871543884277,0.14448308944702148,0.14448308944702148,0.4045737087726593,0.26314979791641235,0.36599814891815186,10256.0,616979.0,28718.0,17766.0,10.62627124786377,0.15339232981204987,0.15339232981204987,0.372102826833725,0.29512572288513184,0.2933538258075714,2101.0,156303.0,5018.0,5061.0,0.008187306113541126
12,10.364253997802734,0.14448308944702148,0.14448308944702148,0.40889450907707214,0.26985350251197815,0.34972521662712097,9800.0,619181.0,26516.0,18222.0,10.610794067382812,0.15339232981204987,0.15339232981204987,0.380109578371048,0.2731774151325226,0.3620496988296509,2593.0,154422.0,6899.0,4569.0,0.0074081807397305965
13,10.361674308776855,0.14448308944702148,0.14448308944702148,0.4053114056587219,0.2675674259662628,0.35900363326072693,10060.0,618159.0,27538.0,17962.0,10.61106014251709,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.2536030411720276,0.420134037733078,3009.0,152465.0,8856.0,4153.0,0.00670319888740778
14,10.35429573059082,0.14448308944702148,0.14448308944702148,0.4084729552268982,0.26705625653266907,0.35550639033317566,9962.0,618356.0,27341.0,18060.0,10.596210479736328,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.26759377121925354,0.35464954376220703,2540.0,154369.0,6952.0,4622.0,0.006065304856747389
15,10.3549222946167,0.14448308944702148,0.14448308944702148,0.41058066487312317,0.2693106234073639,0.35646992921829224,9989.0,618595.0,27102.0,18033.0,10.602263450622559,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.2983565032482147,0.2965652048587799,2124.0,156326.0,4995.0,5038.0,0.005488114431500435
16,10.343374252319336,0.14448308944702148,0.14448308944702148,0.4100537598133087,0.27428555488586426,0.33976876735687256,9521.0,620506.0,25191.0,18501.0,10.58590316772461,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.2651706635951996,0.35143813490867615,2517.0,154346.0,6975.0,4645.0,0.004965851083397865
