,loss,acc,categorical_accuracy,top_k_categorical_accuracy,precision_6,recall_6,true_positives_6,true_negatives_6,false_positives_6,false_negatives_6,val_loss,val_acc,val_categorical_accuracy,val_top_k_categorical_accuracy,val_precision_6,val_recall_6,val_true_positives_6,val_true_negatives_6,val_false_positives_6,val_false_negatives_6,lr
0,10.597413063049316,0.04510485753417015,0.04510485753417015,0.38307514786720276,0.19881533086299896,0.5450003743171692,15272.0,584154.0,61543.0,12750.0,10.765030860900879,0.036662451922893524,0.036662451922893524,0.380109578371048,0.2122313529253006,0.5625523328781128,4029.0,146366.0,14955.0,3133.0,0.009999999776482582
1,10.499388694763184,0.08588892221450806,0.08588892221450806,0.3931921124458313,0.22463397681713104,0.5026407837867737,14085.0,597080.0,48617.0,13937.0,10.690165519714355,0.036662451922893524,0.036662451922893524,0.380109578371048,0.2246703952550888,0.5210834741592407,3732.0,148442.0,12879.0,3430.0,0.009999999776482582
2,10.500650405883789,0.12129834294319153,0.12129834294319153,0.40109601616859436,0.22296464443206787,0.5096709728240967,14282.0,595924.0,49773.0,13740.0,10.722091674804688,0.15339232981204987,0.15339232981204987,0.380109578371048,0.22340618073940277,0.5181513428688049,3711.0,148421.0,12900.0,3451.0,0.009999999776482582
3,10.511114120483398,0.14448308944702148,0.14448308944702148,0.3986721336841583,0.2244444042444229,0.5078153014183044,14230.0,596526.0,49171.0,13792.0,10.781512260437012,0.15339232981204987,0.15339232981204987,0.380109578371048,0.2246703952550888,0.5210834741592407,3732.0,148442.0,12879.0,3430.0,0.009999999776482582
4,10.493066787719727,0.14458847045898438,0.14458847045898438,0.3934028744697571,0.22651132941246033,0.49607452750205994,13901.0,598228.0,47469.0,14121.0,10.771087646484375,0.15339232981204987,0.15339232981204987,0.380109578371048,0.2122313529253006,0.5625523328781128,4029.0,146366.0,14955.0,3133.0,0.009999999776482582
5,10.486729621887207,0.14448308944702148,0.14448308944702148,0.39551058411598206,0.22965165972709656,0.47666120529174805,13357.0,600892.0,44805.0,14665.0,10.730733871459961,0.15339232981204987,0.15339232981204987,0.3539822995662689,0.2122313529253006,0.5625523328781128,4029.0,146366.0,14955.0,3133.0,0.009999999776482582
6,10.491264343261719,0.14448308944702148,0.14448308944702148,0.38887131214141846,0.23342204093933105,0.4632788598537445,12982.0,603063.0,42634.0,15040.0,10.746902465820312,0.15339232981204987,0.15339232981204987,0.35524651408195496,0.22340618073940277,0.5181513428688049,3711.0,148421.0,12900.0,3451.0,0.009999999776482582
7,10.473668098449707,0.14448308944702148,0.14448308944702148,0.39266517758369446,0.23313546180725098,0.46952393651008606,13157.0,602419.0,43278.0,14865.0,10.716354370117188,0.15339232981204987,0.15339232981204987,0.3969658613204956,0.23289787769317627,0.462999165058136,3316.0,150399.0,10922.0,3846.0,0.009999999776482582
8,10.46851634979248,0.14448308944702148,0.14448308944702148,0.39930444955825806,0.23483027517795563,0.4601741433143616,12895.0,603680.0,42017.0,15127.0,10.69674015045166,0.15339232981204987,0.15339232981204987,0.35524651408195496,0.23978087306022644,0.47668248414993286,3414.0,150497.0,10824.0,3748.0,0.009999999776482582
9,10.476426124572754,0.14448308944702148,0.14448308944702148,0.3996206223964691,0.23225966095924377,0.4688459038734436,13138.0,602269.0,43428.0,14884.0,10.720358848571777,0.15339232981204987,0.15339232981204987,0.380109578371048,0.23978087306022644,0.47668248414993286,3414.0,150497.0,10824.0,3748.0,0.009999999776482582
10,10.474529266357422,0.14448308944702148,0.14448308944702148,0.3987775444984436,0.2292143851518631,0.4856184422969818,13608.0,599937.0,45760.0,14414.0,10.668523788452148,0.15339232981204987,0.15339232981204987,0.40286555886268616,0.24820901453495026,0.4111979901790619,2945.0,152401.0,8920.0,4217.0,0.009048373438417912
11,10.476041793823242,0.14448308944702148,0.14448308944702148,0.3999367654323578,0.23593948781490326,0.4558561146259308,12774.0,604330.0,41367.0,15248.0,10.68049144744873,0.15339232981204987,0.15339232981204987,0.39780867099761963,0.23289787769317627,0.462999165058136,3316.0,150399.0,10922.0,3846.0,0.008187306113541126
12,10.451420783996582,0.14448308944702148,0.14448308944702148,0.39435136318206787,0.2354591339826584,0.4612804353237152,12926.0,603726.0,41971.0,15096.0,10.649675369262695,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.2536030411720276,0.420134037733078,3009.0,152465.0,8856.0,4153.0,0.0074081807397305965
13,10.445040702819824,0.14448308944702148,0.14448308944702148,0.40046370029449463,0.238125279545784,0.44457927346229553,12458.0,605838.0,39859.0,15564.0,10.716872215270996,0.15339232981204987,0.15339232981204987,0.4395280182361603,0.23142294585704803,0.4600670337677002,3295.0,150378.0,10943.0,3867.0,0.00670319888740778
14,10.436135292053223,0.14448308944702148,0.14448308944702148,0.40320369601249695,0.23709043860435486,0.45189493894577026,12663.0,604950.0,40747.0,15359.0,10.636795043945312,0.15339232981204987,0.15339232981204987,0.41466498374938965,0.2260851263999939,0.44945546984672546,3219.0,150302.0,11019.0,3943.0,0.006065304856747389
15,10.404823303222656,0.14448308944702148,0.14448308944702148,0.3960375189781189,0.24602699279785156,0.42484477162361145,11905.0,609213.0,36484.0,16117.0,10.629962921142578,0.15339232981204987,0.15339232981204987,0.35524651408195496,0.23978087306022644,0.47668248414993286,3414.0,150497.0,10824.0,3748.0,0.005488114431500435
