,model,phase,start_time,end_time,total_time
0,model_6_128_adam_bert_t1,train,1603639416,1603639516,99.86738467
1,model_6_128_adam_bert_t1,test,1603639516,1603639524,7.570916653
2,model_6_128_adam_bert_t2,train,1603639526,1603639620,94.51666141
3,model_6_128_adam_bert_t2,test,1603639620,1603639627,7.453845739
4,model_6_128_adam_xlnet_t1,train,1603639629,1603639725,96.1806469
5,model_6_128_adam_xlnet_t1,test,1603639725,1603639733,7.399585724
6,model_6_128_adam_xlnet_t2,train,1603639734,1603639832,97.32524967
7,model_6_128_adam_xlnet_t2,test,1603639832,1603639840,8.042870283
