,model,phase,start_time,end_time,total_time
0,model_3_256_adam_bert_t1,train,1603638330,1603638418,87.61546469
1,model_3_256_adam_bert_t1,test,1603638418,1603638426,7.873497725
2,model_3_256_adam_bert_t2,train,1603638427,1603638514,86.61788821
3,model_3_256_adam_bert_t2,test,1603638514,1603638521,7.543579102
4,model_3_256_adam_xlnet_t1,train,1603638523,1603638612,88.52498293
5,model_3_256_adam_xlnet_t1,test,1603638612,1603638619,7.550598145
6,model_3_256_adam_xlnet_t2,train,1603638621,1603638709,88.6042397
7,model_3_256_adam_xlnet_t2,test,1603638709,1603638717,7.433879137
