,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.10519864041034531,0.21597543789007448,0.11479240296615727,0.14990779897399817,0.04069109644782324,0.04509764445339239,0.9593089035521768,0.08626271965970383,0.6304903555658843,0.011555783924168466,0.0909700566676726,0.0153829731506391,0.15899900369219952,_relu_leaky,t2_bert,train,18.590291500091553,t2_bert_100__relu_leaky_uniform
1,200,0.1259641468616168,0.2535400308704114,0.13507575533903957,0.17625177562934194,0.0402388156197098,0.057781356955909,0.9597611843802902,0.1793178688734416,0.6493371996685998,0.014604406606400836,0.10512020923448345,0.019885332702734453,0.18094715881215548,_relu_leaky,t2_bert,train,28.610490083694458,t2_bert_200__relu_leaky_uniform
2,300,0.13914620777853653,0.2784460774444668,0.1506431479119774,0.1955117544381694,0.03984891835409477,0.06301590497282061,0.9601510816459052,0.21871507486365901,0.662134088762984,0.016538667572116517,0.11756027227307783,0.02234849229846672,0.19966968506179167,_relu_leaky,t2_bert,train,39.708900690078735,t2_bert_300__relu_leaky_uniform
3,400,0.14962914796910626,0.29534091671699897,0.1602928051069932,0.20780298619655768,0.039660349858360956,0.07006241191866318,0.960339650141639,0.2445503703107875,0.6647666547915925,0.018769111181334945,0.1251383160647822,0.025915958707358404,0.2106273104382425,_relu_leaky,t2_bert,train,50.36632180213928,t2_bert_400__relu_leaky_uniform
4,500,0.1601319564897303,0.31362061031378524,0.17345736397423483,0.22337205632235013,0.03928888409984773,0.07378699416146567,0.9607111159001522,0.4001860469762258,0.6765886287625418,0.02196349830814303,0.13566710257184053,0.031087393268881627,0.22601457978381698,_relu_leaky,t2_bert,train,62.327311992645264,t2_bert_500__relu_leaky_uniform
5,1000,0.20202676048304616,0.3814358096772028,0.21902045063961154,0.2782625428253751,0.03782145257289661,0.09452385745923092,0.9621785474271034,0.5869249932698488,0.7173642768338169,0.03419262622218286,0.17412735137310129,0.050900832826321595,0.2802331228751821,_relu_leaky,t2_bert,train,117.85946702957153,t2_bert_1000__relu_leaky_uniform
6,2000,0.295905677789266,0.5086386819676536,0.3208151683066365,0.3934613223116808,0.03405717169941331,0.14334608415542582,0.9659428283005866,0.8452886619416365,0.7837996478184308,0.08084717592966255,0.2686517117660866,0.12583204194609968,0.4001498314396305,_relu_leaky,t2_bert,train,230.21913528442383,t2_bert_2000__relu_leaky_uniform
7,3000,0.4069270935780527,0.6277024392738111,0.436547697217573,0.5149579878020606,0.028829712723694695,0.21260318099456413,0.9711702872763053,0.9651183522090723,0.8481690760989212,0.18395225616605343,0.38755323072796166,0.2831473083419904,0.5320138089758343,_relu_leaky,t2_bert,train,346.21374440193176,t2_bert_3000__relu_leaky_uniform
8,4000,0.5436813747821119,0.7388210965823225,0.5777844695543727,0.6484544291225894,0.02212489756335476,0.3177974632574995,0.9778751024366452,0.9829087188711805,0.8989785610057246,0.3726181608464521,0.5371022365288536,0.5240455808639588,0.6724460023928969,_relu_leaky,t2_bert,train,472.400349855423,t2_bert_4000__relu_leaky_uniform
9,5000,0.703292592608058,0.8395446912249742,0.7354057433221691,0.7840322770284643,0.014212109783727531,0.48530299979867125,0.9857878902162724,0.9879189272695468,0.9362742937728615,0.6338430953016393,0.7123696475874325,0.7673447422837718,0.8091175686483604,_relu_leaky,t2_bert,train,694.8892540931702,t2_bert_5000__relu_leaky_uniform
10,10000,0.9579633000938607,0.9705075322525492,0.9692450548802466,0.9698758827281482,0.0020799246860263654,0.9341654922488424,0.9979200753139736,0.9759686828791282,0.9796995533901746,0.9726009181766877,0.9709284780203199,0.9738893146363929,0.9752942959632194,_relu_leaky,t2_bert,train,1487.4429881572723,t2_bert_10000__relu_leaky_uniform
