,model,phase,start_time,end_time,total_time
0,model_4_192_adam_bert_t1,train,1604604394.485675,1604604484.5496905,90.06401538848877
1,model_4_192_adam_bert_t1,test,1604604484.5546417,1604604492.4423816,7.887739896774292
2,model_4_192_adam_bert_t2,train,1604604494.121393,1604604587.8341587,93.71276569366455
3,model_4_192_adam_bert_t2,test,1604604587.8416202,1604604595.6481647,7.806544542312622
4,model_4_192_adam_xlnet_t1,train,1604604597.3215017,1604604690.3180885,92.99658679962158
5,model_4_192_adam_xlnet_t1,test,1604604690.3234951,1604604698.078517,7.755021810531616
6,model_4_192_adam_xlnet_t2,train,1604604699.7179096,1604604794.2641633,94.54625368118286
7,model_4_192_adam_xlnet_t2,test,1604604794.2771091,1604604802.1338184,7.856709241867065
