,model,phase,start_time,end_time,total_time
0,model_3_256_adam_bert_t1,train,1604603997.565639,1604604087.9493895,90.38375043869019
1,model_3_256_adam_bert_t1,test,1604604087.952758,1604604096.1751618,8.222403764724731
2,model_3_256_adam_bert_t2,train,1604604097.8444004,1604604185.3886735,87.54427313804626
3,model_3_256_adam_bert_t2,test,1604604185.3935435,1604604193.1911032,7.79755973815918
4,model_3_256_adam_xlnet_t1,train,1604604194.8487327,1604604284.3263397,89.47760701179504
5,model_3_256_adam_xlnet_t1,test,1604604284.331745,1604604292.2002063,7.86846137046814
6,model_3_256_adam_xlnet_t2,train,1604604293.8503697,1604604384.3213398,90.4709701538086
7,model_3_256_adam_xlnet_t2,test,1604604384.3277328,1604604392.762387,8.434654235839844
