,model,phase,start_time,end_time,total_time
0,model_2_384_adam_bert_t1,train,1604603600.8067942,1604603693.7445095,92.93771529197693
1,model_2_384_adam_bert_t1,test,1604603693.7480638,1604603701.9923456,8.244281768798828
2,model_2_384_adam_bert_t2,train,1604603703.7226377,1604603792.6602743,88.93763661384583
3,model_2_384_adam_bert_t2,test,1604603792.668284,1604603800.7717376,8.103453636169434
4,model_2_384_adam_xlnet_t1,train,1604603802.80832,1604603890.343504,87.53518390655518
5,model_2_384_adam_xlnet_t1,test,1604603890.3482165,1604603898.3569095,8.008692979812622
6,model_2_384_adam_xlnet_t2,train,1604603900.4604094,1604603988.1093662,87.64895677566528
7,model_2_384_adam_xlnet_t2,test,1604603988.1132488,1604603995.8142586,7.701009750366211
