,model,phase,start_time,end_time,total_time
0,model_1_768_adam_bert_t1,train,1604603204.5701563,1604603295.507671,90.9375147819519
1,model_1_768_adam_bert_t1,test,1604603295.51508,1604603303.937457,8.422377109527588
2,model_1_768_adam_bert_t2,train,1604603305.6753535,1604603392.7588136,87.08346009254456
3,model_1_768_adam_bert_t2,test,1604603392.762267,1604603401.2803917,8.5181245803833
4,model_1_768_adam_xlnet_t1,train,1604603402.998196,1604603492.0343845,89.03618860244751
5,model_1_768_adam_xlnet_t1,test,1604603492.0411732,1604603500.0406716,7.99949836730957
6,model_1_768_adam_xlnet_t2,train,1604603501.7105138,1604603590.0292883,88.31877446174622
7,model_1_768_adam_xlnet_t2,test,1604603590.0344207,1604603597.8673174,7.832896709442139
