,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
,,,,,,,,,,,,,900,12.05476713,43.00800276,28.06779933,108.8020456,,
,,,,,,,,,,,,,1000,12.29167914,51.54717183,30.50340343,114.1629093,,
,,,,,,,,,,,,,2000,20.32209349,55.38295102,56.3363297,227.2430308,,
,,,,,,,,,,,,,3000,33.26856971,85.58715177,88.55425024,340.1147637,,
,,,,,,,,,,,,,4000,53.30995655,120.2924809,125.8145895,488.8080354,,
,,,,,,,,,,,,,5000,80.62860608,164.4083946,171.1833091,622.0020516,,
,,,,,,,,,,,,,6000,112.8970573,214.3160324,225.3216503,866.6458099,,
,,,,,,,,,,,,,7000,184.1725178,312.6510489,317.5728555,982.4691961,,
,,,,,,,,,,,,,8000,459.8807206,1639.386302,404.9974353,1104.02626,,
,,,,,,,,,,,,,9000,310.2218649,492.093648,473.0173252,1315.956527,,
,,,,,,,,,,,,,10000,354.6615992,549.614357,546.309298,1363.019392,,
