,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.11326738864305334,0.23526672447570413,0.12257086096801133,0.1611728121871464,0.04034962254498181,0.04721071394161287,0.9596503774550182,0.06496687878195782,0.6540734487125369,0.012386508152296343,0.09934602808232353,0.015994140693176343,0.17249248580652343,_identity,t2_xl,train,8.47832179069519,t2_xl_100__identity_uniform
1,200,0.13602712236645512,0.27855927032148253,0.14931112227850177,0.19441400009028173,0.03974167773768539,0.055593024376144135,0.9602583222623147,0.12466493840109522,0.6703571428571429,0.01596759051493084,0.1203436558312496,0.020657091683386915,0.20405500896885362,_identity,t2_xl,train,8.312772750854492,t2_xl_200__identity_uniform
2,300,0.15243351400533334,0.3020361627645568,0.16563978242404995,0.21394816132499647,0.03941463599983173,0.06715483187204933,0.9605853640001683,0.1167008449485572,0.6771640560593569,0.018054872476774758,0.13165993460280823,0.02348934789326498,0.22045680238331677,_identity,t2_xl,train,8.41646122932434,t2_xl_300__identity_uniform
3,400,0.16791324962658383,0.32865240710408833,0.18217083302016296,0.23440939281333661,0.03894782123708626,0.07544079391078139,0.9610521787629137,0.14730342608976105,0.6934057408844065,0.020388463812466735,0.14326473039687118,0.02683850134960485,0.23746645766359362,_identity,t2_xl,train,9.228272438049316,t2_xl_400__identity_uniform
4,500,0.17650446446405474,0.34002151780839523,0.19073769660002307,0.24438547401764477,0.038733412130941544,0.08093265247133635,0.9612665878690585,0.1524204215179809,0.6973938942665674,0.022008457059851445,0.1501250240430852,0.02926996003945338,0.24706534068427022,_identity,t2_xl,train,9.993245601654053,t2_xl_500__identity_uniform
5,600,0.18776284875266597,0.35982914217811596,0.20286793975741016,0.2594568164002482,0.03834394748876727,0.08632816263609211,0.9616560525112328,0.2077099815803938,0.7084870848708487,0.02479807579413951,0.16003077514906713,0.03364542903456717,0.2610878661087866,_identity,t2_xl,train,9.405901193618774,t2_xl_600__identity_uniform
6,700,0.19625482116535228,0.37264347881941084,0.21141263508388494,0.26977387250527657,0.03803318998682334,0.09143462761345024,0.9619668100131766,0.1853603420917579,0.7168287005340271,0.026761200157835837,0.16782073475668396,0.036686801278151895,0.2719692443567031,_identity,t2_xl,train,9.912505149841309,t2_xl_700__identity_uniform
7,800,0.20216003053639675,0.3843257218100651,0.21804589005483188,0.2782357017907962,0.037795711546473175,0.0929762019462376,0.9622042884535268,0.20755948257357695,0.7230974632843792,0.028264574212109664,0.17362313265371546,0.03897302423962366,0.28001240823079315,_identity,t2_xl,train,10.346368789672852,t2_xl_800__identity_uniform
8,900,0.20216003053639675,0.3843257218100651,0.21804589005483188,0.2782357017907962,0.037795711546473175,0.0929762019462376,0.9622042884535268,0.20755948257357695,0.7230974632843792,0.028264574212109664,0.17362313265371546,0.03897302423962366,0.28001240823079315,_identity,t2_xl,train,10.826003074645996,t2_xl_900__identity_uniform
9,1000,0.20216003053639675,0.3843257218100651,0.21804589005483188,0.2782357017907962,0.037795711546473175,0.0929762019462376,0.9622042884535268,0.20755948257357695,0.7230974632843792,0.028264574212109664,0.17362313265371546,0.03897302423962366,0.28001240823079315,_identity,t2_xl,train,12.537130117416382,t2_xl_1000__identity_uniform
